,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,July,0.708,0.186,9,-8.953,0,0.042,0.868,0.0,0.0779,0.322,72.541,audio_features,6J2LdBN97cDWn0MLxYh9HB,spotify:track:6J2LdBN97cDWn0MLxYh9HB,https://api.spotify.com/v1/tracks/6J2LdBN97cDWn0MLxYh9HB,https://api.spotify.com/v1/audio-analysis/6J2LdBN97cDWn0MLxYh9HB,156106,4
1,I Know Alone,0.772,0.658,0,-6.93,1,0.0722,0.14,0.0111,0.117,0.355,128.078,audio_features,5y79D5wSVrcB5eFq0gaWfL,spotify:track:5y79D5wSVrcB5eFq0gaWfL,https://api.spotify.com/v1/tracks/5y79D5wSVrcB5eFq0gaWfL,https://api.spotify.com/v1/audio-analysis/5y79D5wSVrcB5eFq0gaWfL,226027,4
2,Cool with You,0.534,0.62,0,-6.775,1,0.0504,0.0124,0.000736,0.296,0.547,106.986,audio_features,5wv2XK6ms7KBBVDD1cOwlx,spotify:track:5wv2XK6ms7KBBVDD1cOwlx,https://api.spotify.com/v1/tracks/5wv2XK6ms7KBBVDD1cOwlx,https://api.spotify.com/v1/audio-analysis/5wv2XK6ms7KBBVDD1cOwlx,375656,4
3,Motion Sickness,0.652,0.545,1,-9.021,1,0.0358,0.774,0.0428,0.0847,0.626,107.019,audio_features,6LxcPUqx6noURdA5qc4BAT,spotify:track:6LxcPUqx6noURdA5qc4BAT,https://api.spotify.com/v1/tracks/6LxcPUqx6noURdA5qc4BAT,https://api.spotify.com/v1/audio-analysis/6LxcPUqx6noURdA5qc4BAT,229760,4
4,Too Good,0.418,0.758,0,-9.37,1,0.0716,0.333,0.633,0.287,0.581,105.701,audio_features,3qiwIVIcMSZVrSfZ9rcAGB,spotify:track:3qiwIVIcMSZVrSfZ9rcAGB,https://api.spotify.com/v1/tracks/3qiwIVIcMSZVrSfZ9rcAGB,https://api.spotify.com/v1/audio-analysis/3qiwIVIcMSZVrSfZ9rcAGB,215217,4
5,The Steps,0.703,0.714,2,-4.967,1,0.0316,0.0197,1.65e-06,0.0849,0.62,116.723,audio_features,0aogemGEeklb2Hj9akWhxr,spotify:track:0aogemGEeklb2Hj9akWhxr,https://api.spotify.com/v1/tracks/0aogemGEeklb2Hj9akWhxr,https://api.spotify.com/v1/audio-analysis/0aogemGEeklb2Hj9akWhxr,247600,4
6,SUGAR,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,audio_features,6U0FIYXCQ3TGrk4tFpLrEA,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,https://api.spotify.com/v1/tracks/6U0FIYXCQ3TGrk4tFpLrEA,https://api.spotify.com/v1/audio-analysis/6U0FIYXCQ3TGrk4tFpLrEA,204533,4
7,Way to be Loved,0.583,0.515,11,-9.283,0,0.0571,0.605,0.000691,0.0931,0.603,115.732,audio_features,5FjC0o2EGdlAMdc3hfeTMd,spotify:track:5FjC0o2EGdlAMdc3hfeTMd,https://api.spotify.com/v1/tracks/5FjC0o2EGdlAMdc3hfeTMd,https://api.spotify.com/v1/audio-analysis/5FjC0o2EGdlAMdc3hfeTMd,263397,4
8,Talia,0.401,0.507,2,-7.001,1,0.089,0.549,0.0,0.164,0.236,180.159,audio_features,53jbdPQBaH6WaQvW0zmGBs,spotify:track:53jbdPQBaH6WaQvW0zmGBs,https://api.spotify.com/v1/tracks/53jbdPQBaH6WaQvW0zmGBs,https://api.spotify.com/v1/audio-analysis/53jbdPQBaH6WaQvW0zmGBs,207720,4
9,Now I'm In It - Bonus Track,0.717,0.707,4,-9.495,1,0.0628,0.384,0.000117,0.161,0.206,105.014,audio_features,0TCRoG3C8ItxMC4VYtN1La,spotify:track:0TCRoG3C8ItxMC4VYtN1La,https://api.spotify.com/v1/tracks/0TCRoG3C8ItxMC4VYtN1La,https://api.spotify.com/v1/audio-analysis/0TCRoG3C8ItxMC4VYtN1La,204280,4
10,Tonight (I Wish I Was Your Boy),0.478,0.456,7,-6.844,1,0.0529,0.122,1.98e-05,0.214,0.268,171.9,audio_features,7DmTaJoM7L020qm3egqNsM,spotify:track:7DmTaJoM7L020qm3egqNsM,https://api.spotify.com/v1/tracks/7DmTaJoM7L020qm3egqNsM,https://api.spotify.com/v1/audio-analysis/7DmTaJoM7L020qm3egqNsM,247265,4
11,positions,0.736,0.802,0,-4.759,1,0.0864,0.468,0.0,0.094,0.675,144.005,audio_features,7igeByaBM0MgGsgXtNxDJ7,spotify:track:7igeByaBM0MgGsgXtNxDJ7,https://api.spotify.com/v1/tracks/7igeByaBM0MgGsgXtNxDJ7,https://api.spotify.com/v1/audio-analysis/7igeByaBM0MgGsgXtNxDJ7,172325,4
12,I Love You So,0.578,0.669,10,-4.898,1,0.0377,0.65,0.0,0.13,0.503,75.995,audio_features,1175r6ZmkUjX8dRJLz9Ohk,spotify:track:1175r6ZmkUjX8dRJLz9Ohk,https://api.spotify.com/v1/tracks/1175r6ZmkUjX8dRJLz9Ohk,https://api.spotify.com/v1/audio-analysis/1175r6ZmkUjX8dRJLz9Ohk,160254,4
13,3 AM,0.714,0.69,6,-7.917,1,0.0809,0.218,9.5e-05,0.0905,0.662,90.995,audio_features,4S9hjx5pmvBo16LJaB40R5,spotify:track:4S9hjx5pmvBo16LJaB40R5,https://api.spotify.com/v1/tracks/4S9hjx5pmvBo16LJaB40R5,https://api.spotify.com/v1/audio-analysis/4S9hjx5pmvBo16LJaB40R5,190133,4
14,Personal Lies,0.618,0.546,0,-8.015,1,0.0269,0.0102,0.000403,0.293,0.576,110.049,audio_features,3BjQX42wrf1Ie1AopSnUGV,spotify:track:3BjQX42wrf1Ie1AopSnUGV,https://api.spotify.com/v1/tracks/3BjQX42wrf1Ie1AopSnUGV,https://api.spotify.com/v1/audio-analysis/3BjQX42wrf1Ie1AopSnUGV,299546,4
15,Witch Love,0.677,0.655,6,-6.922,0,0.0255,0.0651,1.68e-05,0.13,0.627,86.01,audio_features,776I5KOtISF3ffdDp67AgY,spotify:track:776I5KOtISF3ffdDp67AgY,https://api.spotify.com/v1/tracks/776I5KOtISF3ffdDp67AgY,https://api.spotify.com/v1/audio-analysis/776I5KOtISF3ffdDp67AgY,176871,4
16,Garden Song,0.528,0.273,0,-16.623,1,0.132,0.864,0.00617,0.111,0.158,98.311,audio_features,5uQRmdIqyMmKPWJcot4UmV,spotify:track:5uQRmdIqyMmKPWJcot4UmV,https://api.spotify.com/v1/tracks/5uQRmdIqyMmKPWJcot4UmV,https://api.spotify.com/v1/audio-analysis/5uQRmdIqyMmKPWJcot4UmV,219682,4
17,Don’t Wanna,0.762,0.498,8,-5.294,1,0.0481,0.161,9.55e-06,0.172,0.871,107.049,audio_features,1gB2IbSdMot7wOTbizuBuN,spotify:track:1gB2IbSdMot7wOTbizuBuN,https://api.spotify.com/v1/tracks/1gB2IbSdMot7wOTbizuBuN,https://api.spotify.com/v1/audio-analysis/1gB2IbSdMot7wOTbizuBuN,201787,4
18,Rain On Me (with Ariana Grande),0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,audio_features,7ju97lgwC2rKQ6wwsf9no9,spotify:track:7ju97lgwC2rKQ6wwsf9no9,https://api.spotify.com/v1/tracks/7ju97lgwC2rKQ6wwsf9no9,https://api.spotify.com/v1/audio-analysis/7ju97lgwC2rKQ6wwsf9no9,182200,4
19,Toxic Eye,0.523,0.835,7,-6.004,0,0.039,0.163,1.3e-05,0.189,0.545,127.968,audio_features,6Nk5Jr5RqhfSJ0XZs9CHyA,spotify:track:6Nk5Jr5RqhfSJ0XZs9CHyA,https://api.spotify.com/v1/tracks/6Nk5Jr5RqhfSJ0XZs9CHyA,https://api.spotify.com/v1/audio-analysis/6Nk5Jr5RqhfSJ0XZs9CHyA,279062,4
20,William,0.519,0.677,8,-7.929,1,0.027,0.0847,0.828,0.334,0.628,95.011,audio_features,0Bo0ZcQ63mzPnEyoqFhLRn,spotify:track:0Bo0ZcQ63mzPnEyoqFhLRn,https://api.spotify.com/v1/tracks/0Bo0ZcQ63mzPnEyoqFhLRn,https://api.spotify.com/v1/audio-analysis/0Bo0ZcQ63mzPnEyoqFhLRn,251160,4
21,Summer Girl - Bonus Track,0.514,0.545,1,-7.96,0,0.224,0.35,0.0149,0.162,0.611,100.027,audio_features,4iVAyRRWdgjwBooBaSkSRc,spotify:track:4iVAyRRWdgjwBooBaSkSRc,https://api.spotify.com/v1/tracks/4iVAyRRWdgjwBooBaSkSRc,https://api.spotify.com/v1/audio-analysis/4iVAyRRWdgjwBooBaSkSRc,205027,4
22,Pretender,0.596,0.664,7,-9.445,0,0.0649,0.139,0.914,0.157,0.483,180.05,audio_features,3UUW3ui1RUg7Ds8keI3o8U,spotify:track:3UUW3ui1RUg7Ds8keI3o8U,https://api.spotify.com/v1/tracks/3UUW3ui1RUg7Ds8keI3o8U,https://api.spotify.com/v1/audio-analysis/3UUW3ui1RUg7Ds8keI3o8U,202967,4
23,Sofia,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,audio_features,7B3z0ySL9Rr0XvZEAjWZzM,spotify:track:7B3z0ySL9Rr0XvZEAjWZzM,https://api.spotify.com/v1/tracks/7B3z0ySL9Rr0XvZEAjWZzM,https://api.spotify.com/v1/audio-analysis/7B3z0ySL9Rr0XvZEAjWZzM,188387,4
24,Just Wait Til Next Year,0.604,0.726,0,-6.776,1,0.0312,0.61,0.0783,0.551,0.785,101.223,audio_features,7uTG1u7UjDRZe0wEcDR2Xj,spotify:track:7uTG1u7UjDRZe0wEcDR2Xj,https://api.spotify.com/v1/tracks/7uTG1u7UjDRZe0wEcDR2Xj,https://api.spotify.com/v1/audio-analysis/7uTG1u7UjDRZe0wEcDR2Xj,146413,4
25,Yummy,0.687,0.514,9,-6.612,0,0.0897,0.366,0.0,0.116,0.494,145.921,audio_features,41L3O37CECZt3N7ziG2z7l,spotify:track:41L3O37CECZt3N7ziG2z7l,https://api.spotify.com/v1/tracks/41L3O37CECZt3N7ziG2z7l,https://api.spotify.com/v1/audio-analysis/41L3O37CECZt3N7ziG2z7l,210427,4
