,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Peroxide,0.472,0.628,0,-8.859,1,0.0525,0.365,0.0343,0.113,0.281,164.956,audio_features,5r0nz4nalNOBQAPKchQKRY,spotify:track:5r0nz4nalNOBQAPKchQKRY,https://api.spotify.com/v1/tracks/5r0nz4nalNOBQAPKchQKRY,https://api.spotify.com/v1/audio-analysis/5r0nz4nalNOBQAPKchQKRY,214187,4
1,Obedient,0.798,0.703,11,-6.63,1,0.133,0.605,2.91e-05,0.153,0.517,87.98,audio_features,0ZCWaBh3XOTcuwy032ZKCl,spotify:track:0ZCWaBh3XOTcuwy032ZKCl,https://api.spotify.com/v1/tracks/0ZCWaBh3XOTcuwy032ZKCl,https://api.spotify.com/v1/audio-analysis/0ZCWaBh3XOTcuwy032ZKCl,179500,4
2,Keys to the City,0.724,0.469,7,-8.629,1,0.146,0.697,9.29e-05,0.0939,0.241,81.083,audio_features,0Br0pLMITQj8v8A2zDsl1F,spotify:track:0Br0pLMITQj8v8A2zDsl1F,https://api.spotify.com/v1/tracks/0Br0pLMITQj8v8A2zDsl1F,https://api.spotify.com/v1/audio-analysis/0Br0pLMITQj8v8A2zDsl1F,147213,4
3,Mean Girls,0.791,0.52,8,-8.656,1,0.1,0.597,0.000192,0.0938,0.6,141.115,audio_features,37IOMy7QvH4sjvctKVld88,spotify:track:37IOMy7QvH4sjvctKVld88,https://api.spotify.com/v1/tracks/37IOMy7QvH4sjvctKVld88,https://api.spotify.com/v1/audio-analysis/37IOMy7QvH4sjvctKVld88,146613,4
4,Be Nice 2 Me,0.449,0.63,7,-9.019,1,0.0674,0.074,8.79e-06,0.483,0.332,139.017,audio_features,2TmqHjg7uhizGndzXQdFuf,spotify:track:2TmqHjg7uhizGndzXQdFuf,https://api.spotify.com/v1/tracks/2TmqHjg7uhizGndzXQdFuf,https://api.spotify.com/v1/audio-analysis/2TmqHjg7uhizGndzXQdFuf,127792,4
5,Long Road Home,0.469,0.592,1,-6.934,0,0.0427,0.331,0.0539,0.11,0.377,76.689,audio_features,3L8P996yoxnUQmHdOOEXKR,spotify:track:3L8P996yoxnUQmHdOOEXKR,https://api.spotify.com/v1/tracks/3L8P996yoxnUQmHdOOEXKR,https://api.spotify.com/v1/audio-analysis/3L8P996yoxnUQmHdOOEXKR,212316,4
6,AAA Powerline,0.76,0.65,4,-6.941,0,0.0445,0.0176,0.837,0.0774,0.548,119.967,audio_features,6y6VuKUvAqVzONMPL4hXmU,spotify:track:6y6VuKUvAqVzONMPL4hXmU,https://api.spotify.com/v1/tracks/6y6VuKUvAqVzONMPL4hXmU,https://api.spotify.com/v1/audio-analysis/6y6VuKUvAqVzONMPL4hXmU,252000,4
7,Boylife in EU,0.393,0.646,5,-7.533,1,0.0371,0.105,0.0202,0.112,0.0521,144.869,audio_features,1WA5dWFBwokGf1dIRLYwVD,spotify:track:1WA5dWFBwokGf1dIRLYwVD,https://api.spotify.com/v1/tracks/1WA5dWFBwokGf1dIRLYwVD,https://api.spotify.com/v1/audio-analysis/1WA5dWFBwokGf1dIRLYwVD,216360,4
8,Don't Worry,0.703,0.444,11,-7.396,0,0.0367,0.488,1.44e-05,0.123,0.294,100.035,audio_features,6Jw7La8Zj9oH1IToQxXxGC,spotify:track:6Jw7La8Zj9oH1IToQxXxGC,https://api.spotify.com/v1/tracks/6Jw7La8Zj9oH1IToQxXxGC,https://api.spotify.com/v1/audio-analysis/6Jw7La8Zj9oH1IToQxXxGC,138747,4
9,Auto & Allo,0.326,0.402,0,-7.951,1,0.0297,0.609,0.208,0.449,0.336,138.037,audio_features,4W0pNj1DbtCq7KcYtt7Zzt,spotify:track:4W0pNj1DbtCq7KcYtt7Zzt,https://api.spotify.com/v1/tracks/4W0pNj1DbtCq7KcYtt7Zzt,https://api.spotify.com/v1/audio-analysis/4W0pNj1DbtCq7KcYtt7Zzt,201641,3
10,Calcium,0.568,0.455,2,-11.299,0,0.174,0.868,0.000853,0.112,0.35,154.919,audio_features,0D6MyCMzbniMYWHYyCcv5N,spotify:track:0D6MyCMzbniMYWHYyCcv5N,https://api.spotify.com/v1/tracks/0D6MyCMzbniMYWHYyCcv5N,https://api.spotify.com/v1/audio-analysis/0D6MyCMzbniMYWHYyCcv5N,224643,4
11,Yayo,0.555,0.698,8,-8.706,1,0.0477,0.246,0.203,0.108,0.517,77.008,audio_features,7nHEmkpURecKykfN53r9F5,spotify:track:7nHEmkpURecKykfN53r9F5,https://api.spotify.com/v1/tracks/7nHEmkpURecKykfN53r9F5,https://api.spotify.com/v1/audio-analysis/7nHEmkpURecKykfN53r9F5,157293,4
12,WONDERLAND,0.565,0.431,2,-6.675,1,0.04,0.882,0.00233,0.369,0.482,78.659,audio_features,1ULQ7j3Tt1ve1ZzAkESsAj,spotify:track:1ULQ7j3Tt1ve1ZzAkESsAj,https://api.spotify.com/v1/tracks/1ULQ7j3Tt1ve1ZzAkESsAj,https://api.spotify.com/v1/audio-analysis/1ULQ7j3Tt1ve1ZzAkESsAj,125313,4
13,"He's Gone - Live in Amsterdam, 1972; 2001 Remaster",0.644,0.505,9,-9.468,0,0.0373,0.624,0.139,0.107,0.336,132.018,audio_features,4SGS3okZJqz3GpEdruo9BK,spotify:track:4SGS3okZJqz3GpEdruo9BK,https://api.spotify.com/v1/tracks/4SGS3okZJqz3GpEdruo9BK,https://api.spotify.com/v1/audio-analysis/4SGS3okZJqz3GpEdruo9BK,417293,4
14,Fragile,0.523,0.437,9,-10.935,0,0.0297,0.952,0.00098,0.0961,0.447,100.196,audio_features,7be5hJjOIHkQ210gdVXcOL,spotify:track:7be5hJjOIHkQ210gdVXcOL,https://api.spotify.com/v1/tracks/7be5hJjOIHkQ210gdVXcOL,https://api.spotify.com/v1/audio-analysis/7be5hJjOIHkQ210gdVXcOL,173959,4
15,Violence,0.604,0.654,7,-7.44,1,0.261,0.321,0.00748,0.0955,0.183,173.999,audio_features,3bwSCiavJJM9UHEiqdeMW7,spotify:track:3bwSCiavJJM9UHEiqdeMW7,https://api.spotify.com/v1/tracks/3bwSCiavJJM9UHEiqdeMW7,https://api.spotify.com/v1/audio-analysis/3bwSCiavJJM9UHEiqdeMW7,172253,4
