,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Part Time,Past the Sleeping Guards of the Mausoleum,0.76,0.507,1,-9.9,1,0.0413,0.000569,0.901,0.149,0.841,122.014,audio_features,3oDkxYMrFKUNPBAExdUgBp,spotify:track:3oDkxYMrFKUNPBAExdUgBp,https://api.spotify.com/v1/tracks/3oDkxYMrFKUNPBAExdUgBp,https://api.spotify.com/v1/audio-analysis/3oDkxYMrFKUNPBAExdUgBp,157524,4
1,Preoccupations,Silhouettes,0.203,0.892,4,-6.194,0,0.0637,0.00719,0.775,0.37,0.351,76.653,audio_features,07cUDeewEa1wMfKHUakxtK,spotify:track:07cUDeewEa1wMfKHUakxtK,https://api.spotify.com/v1/tracks/07cUDeewEa1wMfKHUakxtK,https://api.spotify.com/v1/audio-analysis/07cUDeewEa1wMfKHUakxtK,252411,4
2,Eddie the Wheel,Lesser Than,0.413,0.714,1,-7.106,0,0.0293,1.01e-05,0.796,0.131,0.184,95.99,audio_features,6IkOblvtFLAEAvROpGMhEa,spotify:track:6IkOblvtFLAEAvROpGMhEa,https://api.spotify.com/v1/tracks/6IkOblvtFLAEAvROpGMhEa,https://api.spotify.com/v1/audio-analysis/6IkOblvtFLAEAvROpGMhEa,318005,4
3,Part Time,Animal Machines,0.646,0.772,2,-9.138,0,0.0335,0.00467,0.908,0.0908,0.58,125.085,audio_features,3FqcpEZ7dzggkhz7cOfC1p,spotify:track:3FqcpEZ7dzggkhz7cOfC1p,https://api.spotify.com/v1/tracks/3FqcpEZ7dzggkhz7cOfC1p,https://api.spotify.com/v1/audio-analysis/3FqcpEZ7dzggkhz7cOfC1p,194000,4
4,George Clanton,King for a Day,0.515,0.926,0,-3.915,1,0.0457,0.00366,0.672,0.232,0.417,167.036,audio_features,1Yi38I0CbA1moWRQCpkjpI,spotify:track:1Yi38I0CbA1moWRQCpkjpI,https://api.spotify.com/v1/tracks/1Yi38I0CbA1moWRQCpkjpI,https://api.spotify.com/v1/audio-analysis/1Yi38I0CbA1moWRQCpkjpI,244898,4
5,George Clanton,Under Your Window,0.566,0.943,10,-4.563,1,0.0511,0.0251,0.0566,0.0931,0.463,87.957,audio_features,7x8gYowWkyq88iwEUidjXv,spotify:track:7x8gYowWkyq88iwEUidjXv,https://api.spotify.com/v1/tracks/7x8gYowWkyq88iwEUidjXv,https://api.spotify.com/v1/audio-analysis/7x8gYowWkyq88iwEUidjXv,205296,4
6,Gorillaz,Chalk Tablet Towers (feat. St Vincent),0.69,0.933,9,-5.447,0,0.0432,0.0259,0.00181,0.0571,0.896,133.008,audio_features,5zGElc4Fk95ONl7YihpLFN,spotify:track:5zGElc4Fk95ONl7YihpLFN,https://api.spotify.com/v1/tracks/5zGElc4Fk95ONl7YihpLFN,https://api.spotify.com/v1/audio-analysis/5zGElc4Fk95ONl7YihpLFN,182727,4
7,Oneohtrix Point Never,I Don’t Love Me Anymore,0.604,0.844,3,-6.076,0,0.0314,0.000128,0.604,0.129,0.459,130.001,audio_features,2TU25cP7heJvinIgySpfrR,spotify:track:2TU25cP7heJvinIgySpfrR,https://api.spotify.com/v1/tracks/2TU25cP7heJvinIgySpfrR,https://api.spotify.com/v1/audio-analysis/2TU25cP7heJvinIgySpfrR,174527,4
8,Arca,Mequetrefe,0.674,0.823,0,-8.654,1,0.202,0.0199,1.25e-05,0.666,0.673,94.118,audio_features,7pNKOYIQBPuJOJ779G5GIq,spotify:track:7pNKOYIQBPuJOJ779G5GIq,https://api.spotify.com/v1/tracks/7pNKOYIQBPuJOJ779G5GIq,https://api.spotify.com/v1/audio-analysis/7pNKOYIQBPuJOJ779G5GIq,140742,4
9,The Chameleons,Perfumed Garden - 2014 Remaster,0.322,0.798,6,-5.581,0,0.0399,0.000791,0.000604,0.243,0.573,130.899,audio_features,698T8oTvGVtymx0KpCqPsy,spotify:track:698T8oTvGVtymx0KpCqPsy,https://api.spotify.com/v1/tracks/698T8oTvGVtymx0KpCqPsy,https://api.spotify.com/v1/audio-analysis/698T8oTvGVtymx0KpCqPsy,273136,4
10,Strange Ranger,House Show,0.435,0.652,7,-7.114,1,0.0312,0.154,0.766,0.103,0.382,147.454,audio_features,7mzXgfHIJkV32ol48paLBe,spotify:track:7mzXgfHIJkV32ol48paLBe,https://api.spotify.com/v1/tracks/7mzXgfHIJkV32ol48paLBe,https://api.spotify.com/v1/audio-analysis/7mzXgfHIJkV32ol48paLBe,160717,4
11,Dog Bite,"Forever, Until",0.644,0.901,4,-7.325,1,0.0313,0.406,0.676,0.187,0.949,114.941,audio_features,6a2xCFvzCxFXyyDyxob6hQ,spotify:track:6a2xCFvzCxFXyyDyxob6hQ,https://api.spotify.com/v1/tracks/6a2xCFvzCxFXyyDyxob6hQ,https://api.spotify.com/v1/audio-analysis/6a2xCFvzCxFXyyDyxob6hQ,228507,4
12,Arca,Machote,0.209,0.724,5,-9.143,0,0.0421,0.00148,1.24e-06,0.369,0.186,136.807,audio_features,6FghyuAcSSxX86TwmWHLrK,spotify:track:6FghyuAcSSxX86TwmWHLrK,https://api.spotify.com/v1/tracks/6FghyuAcSSxX86TwmWHLrK,https://api.spotify.com/v1/audio-analysis/6FghyuAcSSxX86TwmWHLrK,177201,4
13,Vanillaroma,A Little Bit,0.626,0.394,3,-11.164,1,0.0336,0.33,0.0245,0.2,0.444,120.103,audio_features,6Xeh8V5iLkjmMwTyHSIwKs,spotify:track:6Xeh8V5iLkjmMwTyHSIwKs,https://api.spotify.com/v1/tracks/6Xeh8V5iLkjmMwTyHSIwKs,https://api.spotify.com/v1/audio-analysis/6Xeh8V5iLkjmMwTyHSIwKs,314500,4
14,Strange Ranger,Leona,0.231,0.725,4,-4.887,1,0.0325,0.00128,0.102,0.425,0.58,97.989,audio_features,2vBwJsqKEi9ZQTCsvUJRXS,spotify:track:2vBwJsqKEi9ZQTCsvUJRXS,https://api.spotify.com/v1/tracks/2vBwJsqKEi9ZQTCsvUJRXS,https://api.spotify.com/v1/audio-analysis/2vBwJsqKEi9ZQTCsvUJRXS,226420,4
15,Ruby Haunt,Strangers,0.45,0.477,6,-11.804,0,0.0309,0.00378,0.915,0.0861,0.0745,120.047,audio_features,6ibiAgBvPvnAZsMr6e32IH,spotify:track:6ibiAgBvPvnAZsMr6e32IH,https://api.spotify.com/v1/tracks/6ibiAgBvPvnAZsMr6e32IH,https://api.spotify.com/v1/audio-analysis/6ibiAgBvPvnAZsMr6e32IH,241000,4
16,Arca,Riquiquí,0.48,0.804,1,-7.906,1,0.459,0.0317,3.92e-06,0.841,0.6,89.762,audio_features,13kjlGwmQYDFdpOWj9Miu9,spotify:track:13kjlGwmQYDFdpOWj9Miu9,https://api.spotify.com/v1/tracks/13kjlGwmQYDFdpOWj9Miu9,https://api.spotify.com/v1/audio-analysis/13kjlGwmQYDFdpOWj9Miu9,159621,3
17,Buzz Kull,Lost Control,0.506,0.714,9,-7.42,0,0.0319,5.9e-05,0.713,0.115,0.36,128.025,audio_features,1MFmIi3ZSbnU0qXQJImOGC,spotify:track:1MFmIi3ZSbnU0qXQJImOGC,https://api.spotify.com/v1/tracks/1MFmIi3ZSbnU0qXQJImOGC,https://api.spotify.com/v1/audio-analysis/1MFmIi3ZSbnU0qXQJImOGC,176250,4
18,Modern English,Gathering Dust,0.237,0.603,2,-15.243,1,0.0712,0.00568,0.0512,0.101,0.041,148.521,audio_features,2OZKx5Yax2RYIgPjaChaq6,spotify:track:2OZKx5Yax2RYIgPjaChaq6,https://api.spotify.com/v1/tracks/2OZKx5Yax2RYIgPjaChaq6,https://api.spotify.com/v1/audio-analysis/2OZKx5Yax2RYIgPjaChaq6,260000,4
19,The Chameleons,Dreams in Celluloid,0.436,0.812,9,-12.277,0,0.0515,0.208,0.000502,0.313,0.592,147.631,audio_features,2GLiC6GjO6zCpBwpdJAMNP,spotify:track:2GLiC6GjO6zCpBwpdJAMNP,https://api.spotify.com/v1/tracks/2GLiC6GjO6zCpBwpdJAMNP,https://api.spotify.com/v1/audio-analysis/2GLiC6GjO6zCpBwpdJAMNP,401827,4
20,Vanillaroma,Norman Bates,0.593,0.83,9,-5.168,1,0.0335,0.108,0.0,0.31,0.811,140.083,audio_features,0n77cXCa3hAVOaoKYXERSe,spotify:track:0n77cXCa3hAVOaoKYXERSe,https://api.spotify.com/v1/tracks/0n77cXCa3hAVOaoKYXERSe,https://api.spotify.com/v1/audio-analysis/0n77cXCa3hAVOaoKYXERSe,269143,4
21,Mirror Kisses,Proud,0.602,0.768,7,-5.11,0,0.031,0.0174,0.000432,0.554,0.385,122.0,audio_features,3iXhuLpsdEjpJRhn64Yo6T,spotify:track:3iXhuLpsdEjpJRhn64Yo6T,https://api.spotify.com/v1/tracks/3iXhuLpsdEjpJRhn64Yo6T,https://api.spotify.com/v1/audio-analysis/3iXhuLpsdEjpJRhn64Yo6T,196310,4
22,VR SEX,Surrender,0.388,0.982,7,-6.015,1,0.101,0.00228,0.0768,0.359,0.137,130.061,audio_features,1EMYfMX4AhdKXk6CoEscg4,spotify:track:1EMYfMX4AhdKXk6CoEscg4,https://api.spotify.com/v1/tracks/1EMYfMX4AhdKXk6CoEscg4,https://api.spotify.com/v1/audio-analysis/1EMYfMX4AhdKXk6CoEscg4,338400,3
23,For Against,Shine,0.211,0.961,5,-9.455,0,0.0698,0.00236,0.209,0.127,0.239,170.229,audio_features,236GlsgI5MWIZegLxCozdi,spotify:track:236GlsgI5MWIZegLxCozdi,https://api.spotify.com/v1/tracks/236GlsgI5MWIZegLxCozdi,https://api.spotify.com/v1/audio-analysis/236GlsgI5MWIZegLxCozdi,246733,4
24,Gorillaz,Aries (feat. Peter Hook and Georgia),0.611,0.667,2,-7.801,1,0.0342,0.0175,0.0844,0.241,0.793,119.996,audio_features,2haIfONRw1Bhi2zSp67MYU,spotify:track:2haIfONRw1Bhi2zSp67MYU,https://api.spotify.com/v1/tracks/2haIfONRw1Bhi2zSp67MYU,https://api.spotify.com/v1/audio-analysis/2haIfONRw1Bhi2zSp67MYU,253333,4
25,Preoccupations,Bunker Buster,0.545,0.772,2,-7.807,1,0.0482,0.0014,0.884,0.161,0.389,120.421,audio_features,7rqZJ8JM8nlNHb4p8eCSTR,spotify:track:7rqZJ8JM8nlNHb4p8eCSTR,https://api.spotify.com/v1/tracks/7rqZJ8JM8nlNHb4p8eCSTR,https://api.spotify.com/v1/audio-analysis/7rqZJ8JM8nlNHb4p8eCSTR,355989,4
26,The Chameleons,P.S. Goodbye,0.425,0.579,4,-11.468,1,0.0434,0.424,0.11,0.0682,0.493,124.043,audio_features,2inFjxT6inGZlyd4GhOro5,spotify:track:2inFjxT6inGZlyd4GhOro5,https://api.spotify.com/v1/tracks/2inFjxT6inGZlyd4GhOro5,https://api.spotify.com/v1/audio-analysis/2inFjxT6inGZlyd4GhOro5,242627,4
27,George Clanton,Time of Wandering (Prelude),0.238,0.152,7,-17.262,1,0.0307,0.35,0.0,0.234,0.282,85.876,audio_features,0JisLLVC2Z7n2A0VwOoRkE,spotify:track:0JisLLVC2Z7n2A0VwOoRkE,https://api.spotify.com/v1/tracks/0JisLLVC2Z7n2A0VwOoRkE,https://api.spotify.com/v1/audio-analysis/0JisLLVC2Z7n2A0VwOoRkE,30328,4
28,Part Time,Useless Information,0.72,0.834,5,-6.131,0,0.0318,0.000341,0.00053,0.283,0.389,125.501,audio_features,21aJhprjyMcVbsavRxwGce,spotify:track:21aJhprjyMcVbsavRxwGce,https://api.spotify.com/v1/tracks/21aJhprjyMcVbsavRxwGce,https://api.spotify.com/v1/audio-analysis/21aJhprjyMcVbsavRxwGce,258577,4
29,Preoccupations,Throw It Away,0.465,0.795,2,-8.982,1,0.0786,0.00255,0.0171,0.0628,0.542,157.232,audio_features,69DYNMcu7Bq8EAm2GwbDHK,spotify:track:69DYNMcu7Bq8EAm2GwbDHK,https://api.spotify.com/v1/tracks/69DYNMcu7Bq8EAm2GwbDHK,https://api.spotify.com/v1/audio-analysis/69DYNMcu7Bq8EAm2GwbDHK,189267,3
30,George Clanton,Topanga State of Mind,0.445,0.908,8,-5.475,0,0.0628,0.0437,0.251,0.374,0.209,172.05,audio_features,19g7EQT9w6zck6KaudSRSz,spotify:track:19g7EQT9w6zck6KaudSRSz,https://api.spotify.com/v1/tracks/19g7EQT9w6zck6KaudSRSz,https://api.spotify.com/v1/audio-analysis/19g7EQT9w6zck6KaudSRSz,172774,4
31,Matthew Dear,Deserter,0.685,0.784,11,-7.305,1,0.026,0.00144,0.504,0.0797,0.766,140.002,audio_features,60NYRHjg9z1wvv7SZgNeMK,spotify:track:60NYRHjg9z1wvv7SZgNeMK,https://api.spotify.com/v1/tracks/60NYRHjg9z1wvv7SZgNeMK,https://api.spotify.com/v1/audio-analysis/60NYRHjg9z1wvv7SZgNeMK,235787,4
32,Show Me the Body,Arcanum,0.427,0.695,10,-5.463,1,0.0403,0.212,0.0,0.329,0.464,121.025,audio_features,7MDSptyhpzjuErXQV9T6BD,spotify:track:7MDSptyhpzjuErXQV9T6BD,https://api.spotify.com/v1/tracks/7MDSptyhpzjuErXQV9T6BD,https://api.spotify.com/v1/audio-analysis/7MDSptyhpzjuErXQV9T6BD,180080,3
33,Arca,Time,0.548,0.322,3,-13.198,0,0.0266,0.8,0.301,0.0867,0.374,105.947,audio_features,6xT6kVVEUumjAQtLVWooDh,spotify:track:6xT6kVVEUumjAQtLVWooDh,https://api.spotify.com/v1/tracks/6xT6kVVEUumjAQtLVWooDh,https://api.spotify.com/v1/audio-analysis/6xT6kVVEUumjAQtLVWooDh,165789,4
34,Preoccupations,Memory,0.22,0.735,9,-8.264,0,0.0588,0.0606,0.828,0.128,0.146,127.477,audio_features,1ZTt7Y3qSqOgbYf9MZwgCe,spotify:track:1ZTt7Y3qSqOgbYf9MZwgCe,https://api.spotify.com/v1/tracks/1ZTt7Y3qSqOgbYf9MZwgCe,https://api.spotify.com/v1/audio-analysis/1ZTt7Y3qSqOgbYf9MZwgCe,686926,4
35,Jean Dawson,Devilish,0.488,0.911,2,-3.757,1,0.305,0.145,0.0374,0.666,0.509,166.417,audio_features,3wdtYmf9G6WhG3OUiJuLC0,spotify:track:3wdtYmf9G6WhG3OUiJuLC0,https://api.spotify.com/v1/tracks/3wdtYmf9G6WhG3OUiJuLC0,https://api.spotify.com/v1/audio-analysis/3wdtYmf9G6WhG3OUiJuLC0,202340,4
36,Charles Brand,Baby Blue Motorcycle,0.488,0.597,9,-7.166,0,0.031,0.0398,0.39,0.14,0.493,122.753,audio_features,6d1vSCnS8uE8H59FDgEr7W,spotify:track:6d1vSCnS8uE8H59FDgEr7W,https://api.spotify.com/v1/tracks/6d1vSCnS8uE8H59FDgEr7W,https://api.spotify.com/v1/audio-analysis/6d1vSCnS8uE8H59FDgEr7W,246344,4
37,George Clanton,Crash Pad,0.6,0.915,2,-4.212,1,0.0554,0.242,0.475,0.128,0.494,87.998,audio_features,7tkrANwXJBcuOaZoGV4Eyn,spotify:track:7tkrANwXJBcuOaZoGV4Eyn,https://api.spotify.com/v1/tracks/7tkrANwXJBcuOaZoGV4Eyn,https://api.spotify.com/v1/audio-analysis/7tkrANwXJBcuOaZoGV4Eyn,259448,4
