,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Changes,0.716,0.697,7,-8.409,1,0.0259,0.00846,0.144,0.229,0.85,111.999,audio_features,1arEFIGFihaStHQSBQAyVL,spotify:track:1arEFIGFihaStHQSBQAyVL,https://api.spotify.com/v1/tracks/1arEFIGFihaStHQSBQAyVL,https://api.spotify.com/v1/audio-analysis/1arEFIGFihaStHQSBQAyVL,246464,4
1,Orange Peeler,0.345,0.537,2,-10.642,1,0.0313,9.26e-05,0.773,0.152,0.143,114.092,audio_features,1UnmmucyEf92WE0paDqZIs,spotify:track:1UnmmucyEf92WE0paDqZIs,https://api.spotify.com/v1/tracks/1UnmmucyEf92WE0paDqZIs,https://api.spotify.com/v1/audio-analysis/1UnmmucyEf92WE0paDqZIs,388493,4
2,A Great Design,0.569,0.591,11,-11.182,1,0.0309,0.451,0.885,0.112,0.27,110.001,audio_features,4xbf2kdYaW21pJpQIDQyL5,spotify:track:4xbf2kdYaW21pJpQIDQyL5,https://api.spotify.com/v1/tracks/4xbf2kdYaW21pJpQIDQyL5,https://api.spotify.com/v1/audio-analysis/4xbf2kdYaW21pJpQIDQyL5,270845,4
3,MSQ No-Extra,0.53,0.634,6,-8.984,1,0.0383,0.00536,0.939,0.089,0.652,166.899,audio_features,6zxBObLm1UWk5X42zJ4JUD,spotify:track:6zxBObLm1UWk5X42zJ4JUD,https://api.spotify.com/v1/tracks/6zxBObLm1UWk5X42zJ4JUD,https://api.spotify.com/v1/audio-analysis/6zxBObLm1UWk5X42zJ4JUD,256000,4
4,Car,0.559,0.687,0,-5.874,1,0.0433,0.0715,0.00449,0.208,0.541,130.036,audio_features,3ZlzmThV9VspXsOIjlNuaC,spotify:track:3ZlzmThV9VspXsOIjlNuaC,https://api.spotify.com/v1/tracks/3ZlzmThV9VspXsOIjlNuaC,https://api.spotify.com/v1/audio-analysis/3ZlzmThV9VspXsOIjlNuaC,155840,4
5,Only a Shadow,0.573,0.667,2,-6.146,0,0.0792,0.0511,0.0,0.169,0.306,135.533,audio_features,5hokd9FpZOTtsOK9XW8sFD,spotify:track:5hokd9FpZOTtsOK9XW8sFD,https://api.spotify.com/v1/tracks/5hokd9FpZOTtsOK9XW8sFD,https://api.spotify.com/v1/audio-analysis/5hokd9FpZOTtsOK9XW8sFD,211720,4
6,Shirim,0.648,0.71,0,-10.992,1,0.0607,0.0462,0.445,0.254,0.528,101.163,audio_features,1HBXXiiegRl0TpzgikBBTP,spotify:track:1HBXXiiegRl0TpzgikBBTP,https://api.spotify.com/v1/tracks/1HBXXiiegRl0TpzgikBBTP,https://api.spotify.com/v1/audio-analysis/1HBXXiiegRl0TpzgikBBTP,286681,4
7,Pretender,0.596,0.664,7,-9.445,0,0.0649,0.139,0.914,0.157,0.483,180.05,audio_features,3UUW3ui1RUg7Ds8keI3o8U,spotify:track:3UUW3ui1RUg7Ds8keI3o8U,https://api.spotify.com/v1/tracks/3UUW3ui1RUg7Ds8keI3o8U,https://api.spotify.com/v1/audio-analysis/3UUW3ui1RUg7Ds8keI3o8U,202967,4
8,He Would Have Laughed,0.354,0.668,4,-7.9,1,0.0392,0.461,0.721,0.159,0.372,118.54,audio_features,6ZXoX3GiljGiuQpGCjWJI3,spotify:track:6ZXoX3GiljGiuQpGCjWJI3,https://api.spotify.com/v1/tracks/6ZXoX3GiljGiuQpGCjWJI3,https://api.spotify.com/v1/audio-analysis/6ZXoX3GiljGiuQpGCjWJI3,449373,4
9,"Forever, Until",0.644,0.901,4,-7.325,1,0.0313,0.406,0.676,0.187,0.949,114.941,audio_features,6a2xCFvzCxFXyyDyxob6hQ,spotify:track:6a2xCFvzCxFXyyDyxob6hQ,https://api.spotify.com/v1/tracks/6a2xCFvzCxFXyyDyxob6hQ,https://api.spotify.com/v1/audio-analysis/6a2xCFvzCxFXyyDyxob6hQ,228507,4
