,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Cherry-coloured Funk,0.377,0.65,2,-5.902,1,0.029,0.00174,5.75e-05,0.107,0.365,180.074,audio_features,6sVQNUvcVFTXvlk3ec0ngd,spotify:track:6sVQNUvcVFTXvlk3ec0ngd,https://api.spotify.com/v1/tracks/6sVQNUvcVFTXvlk3ec0ngd,https://api.spotify.com/v1/audio-analysis/6sVQNUvcVFTXvlk3ec0ngd,192467,4
1,Lipstick,0.469,0.856,3,-2.365,0,0.0354,0.000494,0.000353,0.266,0.795,134.943,audio_features,2i1nmBnMkDGFTTjeGGIOTm,spotify:track:2i1nmBnMkDGFTTjeGGIOTm,https://api.spotify.com/v1/tracks/2i1nmBnMkDGFTTjeGGIOTm,https://api.spotify.com/v1/audio-analysis/2i1nmBnMkDGFTTjeGGIOTm,200293,4
2,Another Weekend,0.383,0.513,6,-5.377,0,0.0278,0.125,0.000123,0.241,0.388,108.536,audio_features,2gPFK3pmM7zzws174NrjkG,spotify:track:2gPFK3pmM7zzws174NrjkG,https://api.spotify.com/v1/tracks/2gPFK3pmM7zzws174NrjkG,https://api.spotify.com/v1/audio-analysis/2gPFK3pmM7zzws174NrjkG,254520,4
3,Cigarettes out the Window,0.626,0.659,0,-5.669,1,0.0337,0.121,0.0,0.17,0.594,113.551,audio_features,5GKekzF1YcR2DQd9c3DI8y,spotify:track:5GKekzF1YcR2DQd9c3DI8y,https://api.spotify.com/v1/tracks/5GKekzF1YcR2DQd9c3DI8y,https://api.spotify.com/v1/audio-analysis/5GKekzF1YcR2DQd9c3DI8y,198961,4
4,Fifty-fifty Clown,0.485,0.7,0,-7.403,0,0.0272,0.0463,0.109,0.111,0.393,180.119,audio_features,502mpBRHf3IluC4xxr4xCY,spotify:track:502mpBRHf3IluC4xxr4xCY,https://api.spotify.com/v1/tracks/502mpBRHf3IluC4xxr4xCY,https://api.spotify.com/v1/audio-analysis/502mpBRHf3IluC4xxr4xCY,190213,3
5,Blue Wings,0.566,0.8,7,-6.774,1,0.0332,0.051,0.0248,0.0668,0.819,130.052,audio_features,1pjk1YeB0mqdBcrACV3b5C,spotify:track:1pjk1YeB0mqdBcrACV3b5C,https://api.spotify.com/v1/tracks/1pjk1YeB0mqdBcrACV3b5C,https://api.spotify.com/v1/audio-analysis/1pjk1YeB0mqdBcrACV3b5C,225893,4
6,Lemon Glow,0.466,0.82,0,-7.926,1,0.0295,0.45,0.971,0.232,0.502,148.425,audio_features,7pD6katrwWH7H3Xt8cIZS9,spotify:track:7pD6katrwWH7H3Xt8cIZS9,https://api.spotify.com/v1/tracks/7pD6katrwWH7H3Xt8cIZS9,https://api.spotify.com/v1/audio-analysis/7pD6katrwWH7H3Xt8cIZS9,244947,4
7,Lovers Rock,0.559,0.871,5,-5.338,0,0.0392,7.53e-06,0.00524,0.096,0.573,104.976,audio_features,1H7zdcRD0gLGQY0w5ejGgX,spotify:track:1H7zdcRD0gLGQY0w5ejGgX,https://api.spotify.com/v1/tracks/1H7zdcRD0gLGQY0w5ejGgX,https://api.spotify.com/v1/audio-analysis/1H7zdcRD0gLGQY0w5ejGgX,213920,4
8,Bags,0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,audio_features,6UFivO2zqqPFPoQYsEMuCc,spotify:track:6UFivO2zqqPFPoQYsEMuCc,https://api.spotify.com/v1/tracks/6UFivO2zqqPFPoQYsEMuCc,https://api.spotify.com/v1/audio-analysis/6UFivO2zqqPFPoQYsEMuCc,260520,4
9,Hey Moon,0.573,0.639,0,-7.143,1,0.0247,0.784,0.633,0.0923,0.24,89.575,audio_features,0MpsyFvt1KaxNYBYw2aanq,spotify:track:0MpsyFvt1KaxNYBYw2aanq,https://api.spotify.com/v1/tracks/0MpsyFvt1KaxNYBYw2aanq,https://api.spotify.com/v1/audio-analysis/0MpsyFvt1KaxNYBYw2aanq,248707,4
10,Eyes Without A Face,0.391,0.815,9,-6.197,1,0.0518,0.0177,0.00226,0.276,0.647,84.383,audio_features,0pUVeEgZuNyFzIMKp67RbS,spotify:track:0pUVeEgZuNyFzIMKp67RbS,https://api.spotify.com/v1/tracks/0pUVeEgZuNyFzIMKp67RbS,https://api.spotify.com/v1/audio-analysis/0pUVeEgZuNyFzIMKp67RbS,299240,4
11,Oxytocin,0.41,0.941,1,-5.269,1,0.0609,0.0133,0.0208,0.109,0.366,152.008,audio_features,4iSqjCvzGVL6q7t4yGgCly,spotify:track:4iSqjCvzGVL6q7t4yGgCly,https://api.spotify.com/v1/tracks/4iSqjCvzGVL6q7t4yGgCly,https://api.spotify.com/v1/audio-analysis/4iSqjCvzGVL6q7t4yGgCly,235760,4
