,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Sofi Tukker,Playa Grande,0.61,0.882,9,-4.393,0,0.0331,0.0262,0.00146,0.245,0.555,120.032,audio_features,5TJ6emvXEa0KxL7We4QyJT,spotify:track:5TJ6emvXEa0KxL7We4QyJT,https://api.spotify.com/v1/tracks/5TJ6emvXEa0KxL7We4QyJT,https://api.spotify.com/v1/audio-analysis/5TJ6emvXEa0KxL7We4QyJT,201322,4
1,The Weeknd,Blinding Lights,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4
2,LP Giobbi,Meet Again,0.629,0.892,0,-4.775,1,0.0775,0.0256,0.687,0.104,0.438,124.987,audio_features,0RBabLLjDBWUResDuvf24V,spotify:track:0RBabLLjDBWUResDuvf24V,https://api.spotify.com/v1/tracks/0RBabLLjDBWUResDuvf24V,https://api.spotify.com/v1/audio-analysis/0RBabLLjDBWUResDuvf24V,221816,4
3,Arca,Machote,0.209,0.724,5,-9.143,0,0.0421,0.00148,1.24e-06,0.369,0.186,136.807,audio_features,6FghyuAcSSxX86TwmWHLrK,spotify:track:6FghyuAcSSxX86TwmWHLrK,https://api.spotify.com/v1/tracks/6FghyuAcSSxX86TwmWHLrK,https://api.spotify.com/v1/audio-analysis/6FghyuAcSSxX86TwmWHLrK,177201,4
4,Lustral,Everytime - Original Mix,0.587,0.699,9,-8.118,1,0.0278,0.000934,0.132,0.21,0.115,131.657,audio_features,7knQpX2Q26b4E9ygLiTVx7,spotify:track:7knQpX2Q26b4E9ygLiTVx7,https://api.spotify.com/v1/tracks/7knQpX2Q26b4E9ygLiTVx7,https://api.spotify.com/v1/audio-analysis/7knQpX2Q26b4E9ygLiTVx7,312627,4
5,John Prine,Summer's End,0.435,0.187,2,-17.703,1,0.0309,0.739,0.00226,0.122,0.42,74.378,audio_features,511dXUrzAfeivY8f0LUMZd,spotify:track:511dXUrzAfeivY8f0LUMZd,https://api.spotify.com/v1/tracks/511dXUrzAfeivY8f0LUMZd,https://api.spotify.com/v1/audio-analysis/511dXUrzAfeivY8f0LUMZd,209048,3
6,Eddie Vedder,Without You,0.705,0.396,0,-10.747,1,0.045,0.968,0.323,0.102,0.229,116.96,audio_features,4orzuUHemVqCACqcH379vf,spotify:track:4orzuUHemVqCACqcH379vf,https://api.spotify.com/v1/tracks/4orzuUHemVqCACqcH379vf,https://api.spotify.com/v1/audio-analysis/4orzuUHemVqCACqcH379vf,197520,4
7,Bomba Estéreo,To My Love - Tainy Remix,0.764,0.59,7,-4.292,1,0.0395,0.129,0.00847,0.0851,0.281,99.996,audio_features,5LciLoxa1gK70yIUeoHgRx,spotify:track:5LciLoxa1gK70yIUeoHgRx,https://api.spotify.com/v1/tracks/5LciLoxa1gK70yIUeoHgRx,https://api.spotify.com/v1/audio-analysis/5LciLoxa1gK70yIUeoHgRx,251773,4
8,Disclosure,Tondo,0.675,0.92,0,-7.153,0,0.054,0.0123,0.114,0.329,0.841,132.0,audio_features,23PIMIlFx1FeiCmmIf1RgZ,spotify:track:23PIMIlFx1FeiCmmIf1RgZ,https://api.spotify.com/v1/tracks/23PIMIlFx1FeiCmmIf1RgZ,https://api.spotify.com/v1/audio-analysis/23PIMIlFx1FeiCmmIf1RgZ,329280,4
9,LP Giobbi,Dejala Pasar,0.624,0.881,5,-6.913,0,0.0512,0.000904,0.789,0.109,0.0778,128.026,audio_features,4hwmDrLutYtMJatpiw6DoE,spotify:track:4hwmDrLutYtMJatpiw6DoE,https://api.spotify.com/v1/tracks/4hwmDrLutYtMJatpiw6DoE,https://api.spotify.com/v1/audio-analysis/4hwmDrLutYtMJatpiw6DoE,190313,4
